Date,Open,High,Low,Close,Adj Close,Volume
2018-10-19,74.459999,74.629997,73.930000,74.040001,74.040001,2882100
2018-10-22,74.209999,74.330002,73.419998,73.470001,73.470001,2597300
2018-10-23,72.510002,74.010002,72.410004,73.680000,73.680000,4468000
2018-10-24,73.680000,73.680000,72.300003,72.459999,72.459999,4089900
2018-10-25,73.050003,73.099998,72.239998,72.440002,72.440002,2872300
2018-10-26,72.209999,72.510002,71.309998,72.309998,72.309998,3241100
2018-10-29,72.800003,73.470001,72.010002,72.320000,72.320000,4440700
2018-10-30,72.389999,72.949997,71.860001,72.889999,72.889999,2655600
2018-10-31,73.500000,73.610001,72.949997,73.029999,73.029999,3516900
2018-11-01,73.239998,73.239998,72.379997,72.669998,72.669998,3195200
2018-11-02,73.150002,73.540001,72.360001,72.910004,72.910004,3496500
2018-11-05,72.970001,73.480003,72.949997,73.209999,73.209999,3547000
2018-11-06,73.129997,73.349998,72.739998,73.330002,73.330002,3051900
2018-11-07,73.500000,73.629997,73.250000,73.410004,73.410004,3341600
2018-11-08,73.650002,73.690002,73.190002,73.599998,73.599998,2656300
2018-11-09,73.320000,73.750000,73.029999,73.239998,73.239998,2652900
2018-11-12,73.339996,73.339996,72.500000,72.570000,72.570000,2291200
2018-11-13,72.599998,73.510002,72.599998,73.070000,73.070000,2827300
2018-11-14,73.370003,73.599998,72.269997,72.849998,72.849998,2498600
2018-11-15,72.669998,73.099998,72.370003,72.980003,72.980003,2430400
2018-11-16,72.519997,72.820000,72.239998,72.620003,72.620003,2228000
